customer_tenure_months,customer_age,gender,region,contract_type,payment_method,has_premium_plan,num_products_subscribed,has_online_support,has_loyalty_program,monthly_spend_eur,avg_monthly_data_gb,num_support_calls_last_6m,num_purchases_last_3m,days_since_last_purchase,return_rate_pct,promotion_response_rate,satisfaction_score,nps_score,churned
38,45,Female,Central,Month-to-Month,Digital Wallet,0,5,0,1,5.44,0.5,2,3,18,10.9,0.259,4.3,8,0
11,43,Female,South,Month-to-Month,Credit Card,0,1,0,1,43.43,33.4,3,1,5,18.9,0.223,3.3,4,1
22,65,Male,Central,One Year,Bank Transfer,0,4,1,0,13.79,8,3,2,22,36,0.094,3.7,7,0
27,22,Female,North,One Year,Digital Wallet,1,3,0,1,9.81,25.4,3,0,40,9.2,0.162,5,7,0
67,43,Female,West,Month-to-Month,Invoice,0,1,0,0,10.33,7.7,3,1,67,4.2,0.212,5,1,0
31,61,Male,East,Month-to-Month,Credit Card,0,4,1,1,,20.5,0,6,50,4.2,0.178,3.3,0,1
1,42,Female,South,One Year,Bank Transfer,1,3,0,0,7.2,4.2,2,2,13,0.5,0.147,5,3,0
1,21,Female,North,Month-to-Month,Digital Wallet,0,3,1,1,28.65,34.3,1,7,,16,0.441,5,6,0
9,25,Female,South,Month-to-Month,Bank Transfer,0,2,0,0,52.79,9.6,0,9,23,6.6,0.332,2.6,4,0
4,41,Female,Central,Month-to-Month,Invoice,0,2,1,0,39.44,20.3,1,2,106,10,0.126,3.5,8,1
10,22,Male,East,One Year,Credit Card,1,3,0,1,,18.2,1,3,6,0.4,0.325,2.4,7,0
44,39,Male,South,Month-to-Month,Invoice,1,1,0,0,20.05,11.9,1,7,64,15.8,0.077,3.4,7,1
1,47,Female,South,Two Year,Credit Card,1,2,0,0,20.93,22.8,0,1,2,11.2,0.221,3.6,4,0
14,27,Female,South,One Year,Credit Card,0,1,1,1,44.25,29.3,1,8,38,4.3,0.074,2.6,8,0
44,21,Female,North,Month-to-Month,Digital Wallet,1,5,0,1,65.3,0.5,0,1,1,3.9,0.219,4.8,4,0
1,56,Female,East,Month-to-Month,Digital Wallet,0,2,0,0,43.08,1.4,2,4,6,9.1,0.42,2.4,5,1
43,70,Female,West,Month-to-Month,Digital Wallet,0,1,1,0,58.94,3.2,1,6,15,2.6,0.145,1.7,7,0
62,29,Female,North,Two Year,Invoice,1,2,0,1,15.78,6.6,4,2,22,0.3,0.342,4.5,7,0
6,25,Female,North,Month-to-Month,Bank Transfer,0,2,1,1,28.68,41.7,1,5,25,5.9,0.381,3.2,8,0
3,35,Male,East,Month-to-Month,Bank Transfer,1,2,1,0,5.21,12.3,1,2,12,0.4,0.582,3.4,3,0
22,62,Male,South,Month-to-Month,Credit Card,0,3,1,0,,24.3,1,6,3,3.3,0.373,3.6,6,0
2,38,Female,East,Two Year,Credit Card,1,5,0,0,44.49,3.7,2,3,15,4.6,0.421,3.8,6,0
1,39,Female,South,Month-to-Month,Bank Transfer,0,2,0,1,24.99,20.5,2,1,12,1.8,0.085,4.4,6,1
5,28,Male,East,Month-to-Month,Digital Wallet,0,3,0,0,61.43,11.1,1,4,10,5.3,0.584,2.5,6,1
22,78,Male,North,One Year,Credit Card,0,1,1,1,75.94,1.4,1,3,44,3.2,0.508,3.3,0,0
9,24,Female,North,Two Year,Digital Wallet,1,2,1,0,28.83,5.2,2,5,5,18.2,0.458,4.2,4,0
33,63,Male,North,One Year,Invoice,0,4,0,0,40.64,42.2,1,4,22,2.6,0.384,3.2,6,0
20,28,Female,Central,Month-to-Month,Bank Transfer,0,3,1,1,33.42,0.4,1,4,86,5,0.267,3.6,5,1
4,45,Female,South,Month-to-Month,Digital Wallet,0,2,1,0,36.75,1.1,3,3,65,6.9,0.318,3.5,4,1
18,20,Female,North,One Year,Digital Wallet,0,4,1,0,61.78,7.2,0,3,1,6.3,0.126,3.1,0,0
3,67,Male,South,Month-to-Month,Invoice,1,1,1,0,18.3,16.4,0,2,5,5.2,0.115,3.7,10,0
9,63,Female,Central,Month-to-Month,Digital Wallet,0,5,0,1,70.75,11.9,0,3,76,4.4,0.225,3.8,6,1
19,24,Female,Central,Two Year,Invoice,0,5,1,0,28.84,11.2,0,1,8,1.2,0.1,2.7,4,0
7,65,Female,North,Month-to-Month,Digital Wallet,1,3,0,1,90.92,2.8,0,6,36,32.8,0.11,3.2,7,1
27,47,Female,Central,Month-to-Month,Digital Wallet,0,3,0,1,13.54,7.5,2,2,16,24.8,0.196,1.7,4,1
36,26,Female,West,Month-to-Month,Digital Wallet,1,1,1,1,23.96,0.8,2,1,16,5.5,0.373,3.4,1,1
1,21,Female,Central,One Year,Bank Transfer,0,1,0,1,11.71,4.4,3,7,30,3.7,0.553,2.6,10,0
6,58,Male,North,Month-to-Month,Digital Wallet,1,4,0,0,64.66,3.9,0,6,11,20.1,0.21,,3,0
20,55,Female,East,Month-to-Month,Digital Wallet,0,3,1,0,43.57,12,1,5,22,8,0.145,4.1,8,0
11,21,Male,East,Month-to-Month,Credit Card,1,2,0,1,31.54,9.1,1,0,45,11.4,0.055,5,0,1
15,21,Male,West,Two Year,Digital Wallet,1,3,1,0,29.54,30.4,0,3,23,2.9,0.319,4.2,5,0
7,55,Male,West,Two Year,Credit Card,0,3,1,0,15.34,2.8,6,4,53,2.8,0.074,5,9,0
12,49,Male,West,One Year,Bank Transfer,0,2,0,0,63.14,21.9,1,1,4,17.8,0.46,5,,0
58,25,Male,East,One Year,Invoice,0,1,1,0,48.89,74.6,3,4,1,2.5,0.164,3.2,1,0
10,76,Female,South,Month-to-Month,Invoice,1,2,1,1,17.87,6,0,4,46,1.9,0.359,1.6,5,1
46,66,Female,South,Month-to-Month,Credit Card,0,1,1,1,,8.1,1,3,11,1.2,0.309,2.7,7,0
21,58,Male,North,One Year,Bank Transfer,1,3,1,1,36.28,4.4,0,3,7,31.2,0.391,4.3,7,0
5,50,Male,East,Month-to-Month,Credit Card,1,2,0,1,11.83,12.6,1,2,38,0.8,0.071,3.9,1,1
18,21,Male,Central,One Year,Credit Card,1,4,0,0,10.49,13.7,0,1,8,10.5,0.18,,4,0
2,74,Male,South,Two Year,Credit Card,1,5,1,0,18.3,5.8,1,4,5,4.9,0.315,2.8,6,0
24,65,Male,East,Two Year,Bank Transfer,0,1,1,0,47.76,27.3,2,4,78,3.8,0.121,,1,0
38,30,Male,North,Two Year,Digital Wallet,0,1,0,0,13.57,11.8,0,2,16,12.8,0.599,3.8,3,0
66,22,Female,West,Month-to-Month,Digital Wallet,1,1,1,1,10.89,0.1,0,3,2,2.6,0.162,3.8,8,0
98,54,Male,South,Two Year,Bank Transfer,1,1,0,0,15.88,0.5,3,5,16,14.1,0.403,4.5,1,0
15,23,Female,West,Month-to-Month,Credit Card,1,2,1,0,,19.2,3,7,9,13.9,0.118,4.2,5,0
3,25,Female,West,Month-to-Month,Bank Transfer,0,1,1,1,30.61,0.3,2,5,36,17.9,0.024,3.3,10,1
7,55,Male,West,One Year,Bank Transfer,1,5,1,0,27.09,10.9,1,2,66,1.5,0.499,3.5,7,0
63,42,Male,North,One Year,Invoice,1,4,1,1,21.88,42.7,1,3,8,12.8,0.527,4,2,0
12,22,Female,South,One Year,Digital Wallet,0,2,0,0,29.34,0.4,1,3,31,5.5,0.048,3.2,2,0
18,75,Female,West,One Year,Credit Card,0,3,0,0,45.17,13,0,3,10,2.8,0.158,1,4,0
10,75,Male,East,One Year,Digital Wallet,1,4,1,0,29.19,3.4,2,5,12,2.3,0.168,4,9,0
6,36,Female,Central,One Year,Digital Wallet,1,4,1,1,43.28,8,1,3,10,4.5,0.132,4,7,0
44,47,Male,East,Month-to-Month,Invoice,0,2,1,1,6.37,4.5,1,4,27,1.5,0.441,4.5,7,1
1,42,Female,South,Two Year,Bank Transfer,0,3,1,0,47.2,4.1,1,0,32,32,0.035,4.7,6,1
19,28,Female,West,Two Year,Invoice,1,3,0,0,25.77,0.2,0,1,27,1.5,0.499,3.7,6,0
1,62,Female,West,Month-to-Month,Digital Wallet,0,1,1,0,34.26,4.9,0,7,35,6.7,0.299,2.9,6,1
1,48,Male,West,Month-to-Month,Invoice,1,2,0,1,17.63,32,3,2,36,2,0.194,3.8,5,1
81,69,Female,West,One Year,Bank Transfer,1,2,1,0,36.41,19.5,0,6,43,19.4,0.706,4.3,7,0
44,60,Male,North,Two Year,Credit Card,1,1,0,0,25.8,9,1,3,26,11.7,0.241,4.2,,0
1,58,Female,South,Month-to-Month,Credit Card,0,4,1,0,25.09,17.7,0,3,24,0.9,0.171,3.8,5,0
1,72,Female,South,Two Year,Credit Card,0,1,1,0,78.47,21,0,2,24,26.9,0.172,3.9,6,0
90,29,Male,South,Two Year,Bank Transfer,1,5,1,1,15.76,13.3,0,6,12,0.6,0.189,4,3,0
43,72,Female,West,Month-to-Month,Bank Transfer,0,5,1,1,34.49,22.2,2,5,26,19.2,0.559,3,1,1
3,19,Male,West,Two Year,Credit Card,1,3,1,1,37.19,2,1,7,6,3.3,0.197,2.9,2,0
55,57,Male,South,One Year,Credit Card,0,2,1,1,42.26,8.6,1,7,24,36.6,0.169,3.7,8,0
2,52,Male,East,Month-to-Month,Invoice,0,2,1,0,14.33,27.1,1,6,25,7.6,0.113,3,6,1
1,71,Male,North,One Year,Invoice,0,1,0,1,29.13,0.6,3,2,37,6.8,0.364,3.8,8,1
12,78,Female,East,Month-to-Month,Credit Card,0,1,0,1,50.05,46.6,3,3,12,1,0.646,3.8,5,0
15,63,Female,East,Month-to-Month,Invoice,1,3,1,0,35.25,34.3,2,0,14,6.7,0.163,3.4,4,0
6,61,Male,East,Month-to-Month,Digital Wallet,0,2,0,0,32.55,11.2,2,3,138,2,0.151,,3,1
5,78,Male,East,One Year,Invoice,1,4,0,1,40.25,37.3,2,2,47,27.4,0.246,2.3,0,1
7,79,Male,North,One Year,Credit Card,0,2,0,1,41.39,11.5,2,1,1,1.3,0.367,3.7,3,0
34,46,Male,East,Month-to-Month,Digital Wallet,1,1,1,1,126.97,3.9,2,4,28,3.8,0.247,3.3,4,0
55,72,Female,East,One Year,Bank Transfer,0,1,0,1,14.52,14.9,1,4,58,1.9,0.638,3.7,6,0
17,41,Male,North,One Year,Digital Wallet,0,4,1,0,6.04,20.8,2,6,23,7.6,0.23,3.6,3,0
19,78,Male,East,Two Year,Bank Transfer,1,2,1,1,33.22,20.5,3,6,11,5.3,0.134,2.7,8,0
45,64,Female,West,Month-to-Month,Digital Wallet,1,2,1,1,29.7,12.6,0,3,22,4.8,0.64,4,8,0
13,42,Male,West,Two Year,Credit Card,0,1,1,1,36.6,2.1,1,1,9,2.8,0.252,4.6,6,0
52,23,Male,West,One Year,Digital Wallet,0,4,1,0,42.97,4.6,2,3,0,3.9,0.277,2.9,3,0
17,51,Female,East,One Year,Invoice,1,1,1,0,40.79,2.4,3,6,22,20.1,0.373,,9,0
46,50,Male,South,Month-to-Month,Digital Wallet,0,4,0,1,41.56,11.7,0,3,2,7.3,0.28,4.8,10,0
8,79,Male,West,Month-to-Month,Credit Card,1,5,0,1,24.28,5,2,2,21,3.1,0.074,3.2,8,1
68,34,Female,North,Month-to-Month,Invoice,1,1,0,0,12.37,3.2,1,1,10,1.8,0.306,4.2,7,0
18,74,Female,Central,One Year,Invoice,1,4,0,0,23.24,4.5,2,3,64,9,0.201,4.6,8,0
3,45,Female,Central,Month-to-Month,Credit Card,1,2,0,0,58.22,26.8,1,3,33,18.9,0.603,4.8,3,1
24,67,Male,West,One Year,Invoice,0,3,0,0,36.48,30.9,0,3,8,1.4,0.396,3.1,4,0
6,73,Female,South,Two Year,Credit Card,1,1,1,1,13.08,42.1,1,4,21,0.6,0.249,3.7,3,0
1,18,Male,West,One Year,Bank Transfer,1,1,0,1,36.46,9.6,1,4,18,11.2,0.114,2.5,3,0
4,24,Male,North,Month-to-Month,Credit Card,0,1,1,1,9.62,8.5,0,3,30,1.2,0.179,,3,0
116,28,Male,West,One Year,Bank Transfer,1,1,1,0,20.82,9.4,1,1,9,7.5,0.638,2.9,4,0
29,45,Female,East,Month-to-Month,Bank Transfer,1,2,1,0,33.86,4.6,2,3,5,1.7,0.366,3,5,0
13,37,Male,North,Two Year,Credit Card,0,4,0,0,29.24,29.5,1,1,5,0.1,0.245,3.6,2,0
38,71,Female,East,Two Year,Bank Transfer,1,1,1,0,17.56,14,5,5,31,1.7,0.447,3.4,6,0
9,40,Female,North,Two Year,Bank Transfer,0,3,0,0,21.2,30.2,0,2,7,26.7,0.167,3.6,8,0
34,51,Male,South,One Year,Digital Wallet,1,4,0,1,33.16,25.6,1,4,13,13.3,0.377,4.2,8,0
3,45,Male,North,Two Year,Digital Wallet,0,3,0,1,73.66,18,1,5,14,8.9,0.099,2.1,5,0
18,34,Male,North,One Year,Invoice,0,3,1,0,20.15,16.8,1,2,27,7.4,0.437,2.5,9,0
3,68,Female,South,One Year,Credit Card,0,1,0,1,24.32,1.8,4,2,9,9.3,0.255,4.1,3,0
29,37,Male,East,Month-to-Month,Bank Transfer,1,2,1,0,62.96,15.7,3,2,13,9.6,0.384,2.6,10,0
22,69,Female,South,Month-to-Month,Credit Card,1,3,0,0,140.28,2.2,0,8,73,5.6,0.116,3.8,3,0
4,65,Male,North,Month-to-Month,Digital Wallet,0,2,1,0,28.76,1.6,1,1,5,4.9,0.385,5,8,1
18,35,Male,North,Month-to-Month,Credit Card,0,2,1,1,9.14,6.8,0,1,32,12.8,0.133,4.6,3,0
29,56,Male,South,One Year,Credit Card,1,3,0,0,10.99,17.7,0,0,16,6.4,0.192,4.3,4,0
17,74,Male,East,Two Year,Bank Transfer,0,5,1,0,43.19,14,1,3,18,13.7,0.095,2.8,7,0
6,27,Female,South,Month-to-Month,Credit Card,1,2,0,0,34.3,50.1,0,3,73,1,0.134,4.6,3,0
3,20,Female,North,Two Year,Digital Wallet,0,4,1,0,16.25,7.3,3,3,9,4.3,0.294,4.5,3,0
91,46,Male,North,Two Year,Credit Card,0,2,1,0,16.86,11.2,3,4,20,1.2,0.203,5,5,0
16,54,Female,South,Two Year,Bank Transfer,0,4,0,1,37.28,5.1,2,3,3,7.3,0.097,3.7,8,0
60,61,Female,East,Two Year,Digital Wallet,1,4,0,1,35.19,13,0,3,11,1.9,0.206,4.5,2,0
17,54,Female,South,Month-to-Month,Digital Wallet,0,2,1,0,62.4,12.4,1,4,8,2.1,0.555,4.3,,0
23,66,Male,North,Month-to-Month,Digital Wallet,1,2,1,1,27.78,0.9,0,6,4,2.1,0.13,3.7,5,0
15,65,Female,West,Month-to-Month,Invoice,1,4,1,1,17.07,9.8,0,2,21,14.2,0.212,4.2,7,0
12,29,Female,North,Month-to-Month,Bank Transfer,0,1,1,0,39.72,2.8,1,4,34,7.4,0.246,5,5,1
14,43,Female,West,Month-to-Month,Invoice,1,2,1,0,45.53,31.3,2,5,16,16.4,0.294,4.1,4,0
3,40,Male,South,Month-to-Month,Digital Wallet,0,3,0,0,51.5,17.5,0,1,5,11.2,0.666,4.9,10,0
25,56,Female,West,Two Year,Digital Wallet,0,1,1,0,62.5,7.7,1,3,16,1.7,0.43,4.3,5,0
9,79,Male,East,Month-to-Month,Credit Card,1,4,1,0,19.99,4.7,0,3,73,18.3,0.275,4,3,0
14,59,Male,West,Month-to-Month,Digital Wallet,1,1,0,1,29.26,3.3,1,5,9,10.7,0.294,3.5,5,1
61,61,Female,South,Month-to-Month,Digital Wallet,1,1,1,1,8.78,1.4,1,4,3,0,0.156,4.4,3,0
1,35,Male,East,Two Year,Bank Transfer,1,1,0,1,37.46,28,1,6,19,4.7,0.449,3.7,8,0
71,68,Female,East,Month-to-Month,Digital Wallet,0,2,1,0,29.07,3.5,0,9,16,0.2,0.464,2.7,4,0
17,70,Female,Central,One Year,Credit Card,0,3,1,0,35.21,15.8,1,5,58,3.5,0.108,3.5,7,0
2,23,Male,East,Month-to-Month,Invoice,1,2,1,0,48.22,19.5,3,5,1,5.1,0.325,4.3,7,1
1,27,Female,North,Two Year,Bank Transfer,1,4,1,0,38.53,0.3,0,3,24,1.7,0.238,3.2,4,0
22,56,Male,East,Month-to-Month,Invoice,0,2,0,1,42.06,10.5,2,3,,5.3,0.188,,2,0
17,49,Female,Central,One Year,Credit Card,0,1,1,0,37.91,25,1,4,40,2.1,0.527,2.2,6,0
13,36,Male,East,Month-to-Month,Digital Wallet,0,3,0,1,23.75,2.6,3,2,34,3.7,0.34,3.7,6,0
5,73,Male,South,Two Year,Bank Transfer,1,5,1,0,27.62,13.9,2,3,39,11.9,0.421,3.3,3,0
5,79,Male,North,Month-to-Month,Bank Transfer,0,2,0,1,25.62,7.9,0,0,30,11,0.238,4.4,6,0
13,61,Male,Central,Month-to-Month,Credit Card,0,2,1,1,68.29,14.2,4,9,19,1.4,0.26,3.9,7,0
17,60,Female,South,One Year,Digital Wallet,1,2,1,0,65.26,1.5,2,2,2,14.5,0.152,3.3,3,0
8,65,Female,North,Month-to-Month,Bank Transfer,0,2,1,1,28.08,3.3,0,5,24,4.5,0.269,2.8,3,1
12,39,Female,West,Two Year,Bank Transfer,0,3,1,0,20,17,3,3,19,5,0.095,3.2,7,0
34,44,Female,North,Month-to-Month,Invoice,0,2,0,0,37.6,10.4,0,4,2,4.6,0.201,4,6,0
17,70,Female,North,One Year,Invoice,1,2,0,1,70.11,22,2,5,25,12.8,0.451,4,5,0
14,37,Female,Central,Two Year,Credit Card,0,1,1,0,22,5.9,2,5,9,2.2,0.484,5,10,0
1,43,Male,West,Month-to-Month,Credit Card,0,1,1,0,29.54,6.2,1,5,32,0.9,0.398,4.3,3,0
37,20,Male,East,Month-to-Month,Bank Transfer,0,3,1,1,38.84,6.7,2,4,0,13.4,0.648,3,6,0
38,45,Male,North,Month-to-Month,Credit Card,0,2,0,0,71.09,33.9,0,4,3,2.7,0.478,1.9,6,0
31,46,Female,East,Month-to-Month,Bank Transfer,1,3,1,1,12.78,4.2,1,9,38,18,0.075,3,2,1
7,18,Female,Central,Two Year,Credit Card,1,3,1,1,44.18,19.6,2,2,87,2,0.183,4.2,4,1
9,60,Female,Central,Month-to-Month,Invoice,0,2,1,0,26.21,2.2,2,2,12,1.1,0.229,3.2,3,0
1,43,Female,North,Month-to-Month,Digital Wallet,1,1,1,0,18.89,30.8,1,2,,0.5,0.093,3.6,5,1
6,27,Female,East,Month-to-Month,Credit Card,1,2,1,1,77.29,13.2,3,5,2,10.2,0.166,3.8,3,1
24,76,Male,North,Month-to-Month,Invoice,1,2,1,1,70.97,6,0,4,25,4.3,0.151,4.3,5,0
53,66,Female,West,Two Year,Credit Card,0,1,1,1,10.75,10.1,1,2,34,4.8,0.5,5,7,0
1,73,Male,West,Month-to-Month,Digital Wallet,0,1,1,1,17.77,5.7,2,4,0,1.9,0.206,4.7,7,1
25,38,Female,Central,Month-to-Month,Digital Wallet,0,3,0,1,27.52,1.3,0,4,,4.3,0.343,3.6,2,0
18,36,Male,North,Month-to-Month,Bank Transfer,0,2,1,0,55.88,0.4,0,2,3,10.2,0.579,2.5,7,0
4,21,Female,South,Month-to-Month,Invoice,1,1,0,1,65.22,6.1,1,1,11,1,0.203,3.9,4,0
89,31,Male,Central,Month-to-Month,Invoice,0,2,1,1,72.06,6.9,2,1,26,0,0.575,3.6,4,0
14,69,Male,North,One Year,Bank Transfer,0,4,1,0,103.83,8.8,1,5,10,5.5,0.221,3.8,3,0
4,52,Female,East,Two Year,Digital Wallet,1,5,1,0,40.27,7.7,3,2,23,4.3,0.108,,6,0
26,65,Female,West,Two Year,Digital Wallet,1,2,0,1,29.44,2.4,2,4,16,15.9,0.078,3.5,7,0
3,23,Female,North,Month-to-Month,Digital Wallet,1,1,0,1,57.55,4.5,0,2,1,1.9,0.264,2.6,,1
26,42,Female,South,Month-to-Month,Digital Wallet,0,2,1,0,18.62,10.7,0,5,9,3.8,0.34,3.8,3,0
9,42,Female,North,Month-to-Month,Credit Card,0,4,0,1,40.1,12,1,1,22,0.1,0.42,3,5,1
16,22,Female,West,Month-to-Month,Invoice,1,5,1,0,31.99,4.1,0,3,14,5.8,0.458,3.3,6,0
29,37,Male,South,Two Year,Invoice,0,5,0,1,16.42,18.3,3,5,16,1.5,0.274,3.3,7,0
9,76,Female,East,One Year,Digital Wallet,1,4,1,0,28.05,21.9,1,3,5,3.9,0.251,2.9,7,0
36,78,Female,Central,One Year,Invoice,1,2,1,0,10.39,3.2,1,3,50,18.5,0.094,3.1,2,0
2,27,Female,East,Month-to-Month,Bank Transfer,0,4,1,1,31.13,10.9,1,3,38,26.3,0.264,4.7,4,1
8,76,Male,West,Month-to-Month,Digital Wallet,0,1,1,0,15.9,4.9,3,3,34,8.4,0.501,4.3,9,0
7,57,Female,North,Month-to-Month,Invoice,1,1,1,0,28.03,5.4,3,5,2,5,0.162,3.9,5,0
67,23,Male,Central,One Year,Digital Wallet,0,2,0,1,57.76,2,0,0,39,2,0.595,4.8,9,0
120,42,Male,South,Month-to-Month,Credit Card,0,1,0,1,13.76,33.3,2,2,6,5.2,0.476,4,6,0
26,40,Female,West,Month-to-Month,Digital Wallet,0,3,1,0,31.75,20.4,0,3,,1.7,0.15,4.6,1,0
23,48,Female,North,One Year,Invoice,1,1,1,1,16.02,19,1,3,45,7.5,0.185,2.7,9,0
9,20,Female,Central,One Year,Digital Wallet,0,1,1,0,26.85,0.8,0,5,96,15.6,0.31,3,4,0
22,64,Male,North,Two Year,Invoice,0,1,1,0,15.88,11.5,0,3,6,3.3,0.141,3.9,7,0
59,46,Female,Central,Two Year,Bank Transfer,0,1,0,0,41.67,4.5,0,3,2,0.8,0.144,3.9,8,0
10,21,Male,North,One Year,Digital Wallet,0,1,0,0,52.3,5.9,0,4,17,5.1,0.199,3.1,10,0
8,52,Male,North,Month-to-Month,Digital Wallet,0,2,0,0,62.05,12.5,0,2,54,5.5,0.156,4,5,1
36,40,Female,South,Month-to-Month,Invoice,1,2,0,0,52.56,8.2,0,0,8,0.1,0.196,3.5,,0
7,19,Male,Central,Month-to-Month,Bank Transfer,1,5,0,1,19.4,4.4,0,2,53,1.9,0.219,2.2,7,0
57,30,Female,South,Month-to-Month,Bank Transfer,0,3,1,0,14.97,4,0,5,,3,0.299,3.9,3,0
81,18,Female,North,Month-to-Month,Invoice,0,4,0,0,23.38,7.2,3,3,6,8.3,0.122,4.2,8,0
59,52,Male,North,One Year,Bank Transfer,0,4,1,1,17.03,41.7,1,4,114,21.6,0.627,3.1,9,0
16,70,Female,West,One Year,Bank Transfer,0,2,1,0,25.26,22.4,1,5,30,6.6,0.379,2.9,6,0
13,49,Female,Central,Two Year,Digital Wallet,1,2,0,0,85.81,22.6,0,3,17,0.2,0.134,3,4,0
11,33,Male,West,Two Year,Bank Transfer,0,3,1,1,16.54,13.7,0,3,13,7.1,0.133,3.2,2,0
49,43,Male,West,Month-to-Month,Credit Card,0,3,0,1,58.81,5.5,1,5,1,9.3,0.29,3.3,3,0
11,78,Male,North,Two Year,Bank Transfer,1,3,1,0,7.76,4.8,0,3,17,11.1,0.283,3.2,8,0
